ID;Ika;Sukup;Alue;Q41;Q42;Q53;Q43;Q44;Q45;Q46;Q47;Q54;Q48;Q49;Q50;Q51;Q52;Q55;Talous;Tulot
320;1;1;2;1;3; ;2013;1;1;3;1; ;2010;13;4;1;1; ;1;1
322;5;1;2;1;3; ;2011;12;1;1;1; ;9999;13;2;2;7; ;2;1
323;3;1;2;1;1; ;9999;13;5;1;7; ; ; ; ; ;7; ;2;3
324;3;1;2;1;3; ;2012;2;1;3;1; ;2003;13;5;1;1; ;1;3
325;4;2;2;1;1; ;2011;13;2;1;1; ;9999;13;5;1;1; ;2;2
327;6;2;3;1;1; ;2011;13;5;2;1; ;9999;13;5;1;7; ;2;1
329;1;2;1;1;1; ;2007;8;3;2;1; ;9999;13;5;1;1; ;1;1
331;2;2;1;1;3; ;2012;2;1;3;1; ;2009;13;5;1;3; ;1;1
333;6;1;2;1;3; ;2012;3;2;1;1; ;9999;13;5;1;7; ;2;1
334;4;2;2;1;1; ;9999;13;5;2;1; ;2010;2;1;2;1; ;3;1
335;6;2;2;1;1; ;2012;9;4;3;1; ;2008;13;5;2;1; ;1;2
336;5;2;2;1;1; ;2012;7;3;2;1; ;2007;12;1;1;7; ;1;5
337;6;1;3;1;1; ;2011;13;5;1;1; ;9999;13;5;1;7; ;2;2
341;1;2;3;1;2; ;2011;12;1;3;1; ;9999;13;5;1;2; ;4;5
342;2;1;2;1;2; ;2012;12;1;3;1; ;2010;13;2;2;2; ;2;4
345;6;1;2;1;1; ;2012;12;1;1;1; ;2012;1;1;1;1; ;1;5
348;4;1;2;1;1; ;2010;13;2;2;1; ;2006;13;2;1;1; ;1;3
353;5;1;1;1;1; ;2011;5;2;2;1; ;2009;13;2;2;1; ;3;3
355;4;2;4;1;1; ;2009;4;2;2;1; ;2003;13;2;1;1; ;2;2
356;5;2;1;1;1; ;9999;13;5;1;7; ; ; ; ; ;7; ;2;5
357;6;1;1;1;1; ;2011;13;1;1;1; ;9999;13;5;1;7; ;2;4
358;4;1;3;1;1; ;2010;13;3;1;1; ;9999;13;5;1;1; ;2;2
360;2;2;2;1;3; ;2012;13;3;3;1; ;2010;13;1;4;1; ;4;2
361;2;2;3;1;3; ;2012;7;3;3;1; ;2006;3;1;3;3; ;1;1
363;2;1;2;1;3; ;2012;2;1;3;3; ;2010;2;1;3;3; ;2;1
